field,question,model_answer,keywords,difficulty,student_answer,score,label
Computer Networks,BRIEFLY EXPLAIN WHAT IS A ROUTER?,A router is a networking device that forwards data packets between different computer networks based on their destination address.,"router, forwards, packets, networks",Easy,This is used in software development in general.,40.0,Average
OOP,what is a class in oop?,A class is a blueprint for creating objects that defines a set of attributes and methods common to all objects of that type.,"class, blueprint, object, attributes",Hard,a blueprint objects that a of attributes and methods objects of that class,59.0,Average
Computer Networks,Briefly explain what is bandwidth?,Bandwidth is the maximum rate of data transfer across a network path measured typically in bits per second.,"bandwidth, data, transfer, rate",Hard,"honestly, Bandwidth refers to the maximum rate of data transfer across a network path measured typically in bits per second.",95.0,Excellent
Computer Networks,Explain: What is a MAC address?,A MAC address is a unique hardware identifier assigned to a network interface controller for use at the data link layer.,"mac, address, hardware, unique",Medium,This is used in software development in general.,28.0,Poor
Computer Networks,WHAT IS DNS?,"DNS, or Domain Name System, translates human-readable domain names into IP addresses that computers use to identify each other.","dns, domain, translate, ip",Hard,"I think, I did not study this topic properly. It might relate to ip.",44.0,Average
OOP,"In your own words, what is a constructor?",A constructor is a special method automatically called when an object is created that initializes the object's attributes.,"constructor, method, object, initialize",Easy,A IS A SPECIAL METHOD AUTOMATICALLY CALLED WHEN OBJECT IS CREATED THAT INITIALIZES THE OBJECT'S ATTRIBUTES.,86.0,Excellent
Python,Briefly explain what is a lambda function?,A lambda function is a small anonymous function defined using the lambda keyword that can take any number of arguments but has only one expression.,"lambda, anonymous, function, expression",Easy,A is a small anonymous using the take arguments but has one lambda,60.0,Average
DBMS,Briefly explain what is a join in SQL?,A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Easy,A join is used to combine rows from two or more tables based on a related column between them.,98.0,Excellent
Operating Systems,BRIEFLY EXPLAIN WHAT IS A SEMAPHORE?,A semaphore is a synchronization tool used to control access to a shared resource by multiple processes using counters.,"semaphore, synchronization, shared, resource",Hard,A semaphore is a synchronization access a by using counters.,65.0,Good
OOP,"IN YOUR OWN WORDS, WHAT IS AN INTERFACE IN OOP?",An interface is a contract that defines a set of methods a class must implement without providing the implementation itself.,"interface, contract, methods, implement",Easy,My favorite color is blue.,5.0,Poor
Python,Briefly explain what is a lambda function?,A lambda function is a small anonymous function defined using the lambda keyword that can take any number of arguments but has only one expression.,"lambda, anonymous, function, expression",Easy,a lambda function is small anonymous function using the lambda keyword which can take any number arguments has only one expression.,74.0,Good
Data Structures,What is the time complexity of binary search?,Binary search has a time complexity of O(log n) because it repeatedly divides the search interval in half.,"binary, search, logn, complexity",Easy,search has a time complexity O(log it divides the search in binary,47.0,Average
Data Structures,Explain: What is recursion?,Recursion is a technique where a function calls itself to solve smaller instances of the same problem until a base case is reached.,"recursion, function, base case, calls",Hard,"in simple words, recursion is a technique where a function calls itself to solve smaller instances of the same problem until a base case is reached.",94.0,Excellent
Computer Networks,Briefly explain what is bandwidth?,Bandwidth is the maximum rate of data transfer across a network path measured typically in bits per second.,"bandwidth, data, transfer, rate",Hard,"I think, This is used in software development in general.",37.0,Poor
Computer Networks,Explain: What is a router?,A router is a networking device that forwards data packets between different computer networks based on their destination address.,"router, forwards, packets, networks",Medium,"as far as i know, a router is a networking device that forwards data packets between different computer networks based on their destination address.",96.0,Excellent
OOP,explain: what is polymorphism?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.","polymorphism, objects, method, class",Hard,"in simple words, allows objects of different classes to be treated as objects of a common superclass, letting the same method",80.0,Good
